Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
14-DEC-2020,13571.45,13597.5,13472.45,13558.15,558390043,28133.58
15-DEC-2020,13547.2,13589.65,13447.05,13567.85,497600393,30828.33
16-DEC-2020,13663.1,13692.35,13606.45,13682.7,462151091,27460.18
17-DEC-2020,13713.55,13773.25,13673.55,13740.7,416008520,27712.93
18-DEC-2020,13764.4,13772.85,13658.6,13760.55,519393189,34803.3
21-DEC-2020,13741.9,13777.5,13131.45,13328.4,687255400,38243.62
22-DEC-2020,13373.65,13492.05,13192.9,13466.3,696197300,36328.33
23-DEC-2020,13473.5,13619.45,13432.2,13601.1,458651819,27073.45
24-DEC-2020,13672.15,13771.75,13626.9,13749.25,471367730,24764.35
28-DEC-2020,13815.15,13885.3,13811.55,13873.2,403634030,20923.06
29-DEC-2020,13910.35,13967.6,13859.9,13932.6,439593961,25154.23
30-DEC-2020,13980.9,13997,13864.95,13981.95,380681073,24633.12
31-DEC-2020,13970,14024.85,13936.45,13981.75,452410109,26305.82
01-JAN-2021,13996.1,14049.85,13991.35,14018.5,258090905,15873.75
04-JAN-2021,14104.35,14147.95,13953.75,14132.9,494999295,28705.09
05-JAN-2021,14075.15,14215.6,14048.15,14199.5,492475349,30872.87
06-JAN-2021,14240.95,14244.15,14039.9,14146.25,632323316,34615.55
07-JAN-2021,14253.75,14256.25,14123.1,14137.35,559173512,33446.47
08-JAN-2021,14258.4,14367.3,14221.65,14347.25,613472067,37615.19
11-JAN-2021,14474.05,14498.2,14383.1,14484.75,672878543,40186.21
12-JAN-2021,14473.8,14590.65,14432.85,14563.45,929566952,44976.12
13-JAN-2021,14639.8,14653.35,14435.7,14564.85,873956688,44682.93
14-JAN-2021,14550.05,14617.8,14471.5,14595.6,620194977,37534.37
15-JAN-2021,14594.35,14617.45,14357.85,14433.7,789557216,39912.18
18-JAN-2021,14453.3,14459.15,14222.8,14281.3,762043554,41716.22
19-JAN-2021,14371.65,14546.05,14350.85,14521.15,546108304,33084.79
20-JAN-2021,14538.3,14666.45,14517.55,14644.7,623069963,34639.36
21-JAN-2021,14730.95,14753.55,14517.25,14590.35,704646957,41939.04
22-JAN-2021,14583.4,14619.9,14357.75,14371.9,776750347,45322.54
25-JAN-2021,14477.8,14491.1,14218.6,14238.9,618631493,42278.39
27-JAN-2021,14237.95,14237.95,13929.3,13967.5,660711117,40579.24
28-JAN-2021,13810.4,13898.25,13713.25,13817.55,637871621,39881.82
29-JAN-2021,13946.6,13966.85,13596.75,13634.6,753206122,46918.29
01-FEB-2021,13758.6,14336.35,13661.75,14281.2,870529495,51840.22
02-FEB-2021,14481.1,14731.7,14469.15,14647.85,914965225,58177.74
03-FEB-2021,14754.9,14868.85,14574.15,14789.95,869477087,49312.35
04-FEB-2021,14789.05,14913.7,14714.75,14895.65,884686415,47811.8
05-FEB-2021,14952.6,15014.65,14864.75,14924.25,935629058,54394.63
08-FEB-2021,15064.3,15159.9,15041.05,15115.8,671242694,40483.96
09-FEB-2021,15164.15,15257.1,15064.3,15109.3,713279133,41930.72
10-FEB-2021,15119.05,15168.25,14977.2,15106.5,624791133,40707.97
11-FEB-2021,15073.25,15188.5,15065.4,15173.3,500122414,30933.44
12-FEB-2021,15186.2,15243.5,15081,15163.3,571808807,32304.24
15-FEB-2021,15270.3,15340.15,15243.4,15314.7,455959720,28955.29
16-FEB-2021,15371.45,15431.75,15242.2,15313.45,648545320,36550.03
17-FEB-2021,15279.9,15314.3,15170.75,15208.9,504767226,34073.12
18-FEB-2021,15238.7,15250.75,15078.05,15118.95,770629541,37093.99
19-FEB-2021,15074.8,15144.05,14898.2,14981.75,712213821,37419.34
22-FEB-2021,14999.05,15010.1,14635.05,14675.7,609898454,37578.07
23-FEB-2021,14782.25,14854.5,14651.85,14707.8,744092809,39508.09
24-FEB-2021,14729.15,15008.8,14723.05,14982,403754669,23723.99
25-FEB-2021,15079.85,15176.5,15065.35,15097.35,803883875,42983.07
26-FEB-2021,14888.6,14919.45,14467.75,14529.15,1103644519,65012.96
01-MAR-2021,14702.5,14806.8,14638.55,14761.55,507302977,30030.57
02-MAR-2021,14865.3,14959.1,14760.8,14919.1,621723916,34647.26
03-MAR-2021,15064.4,15273.15,14995.8,15245.6,544205583,34567.73
04-MAR-2021,15026.75,15202.35,14980.2,15080.75,534850447,36036.02
05-MAR-2021,14977.95,15092.35,14862.1,14938.1,640700362,37811.6
08-MAR-2021,15002.45,15111.15,14919.9,14956.2,580308065,29518.07
09-MAR-2021,15049.9,15126.85,14925.45,15098.4,675271251,38365.48
10-MAR-2021,15202.15,15218.45,15100.85,15174.8,404585756,25603.32
12-MAR-2021,15321.15,15336.3,14953.6,15030.95,493238854,32195.96
15-MAR-2021,15048.4,15048.4,14745.85,14929.5,467473367,28118
16-MAR-2021,14996.1,15051.6,14890.65,14910.45,437651327,27975.07
17-MAR-2021,14946.55,14956.55,14696.05,14721.3,479352147,27983.5
18-MAR-2021,14855.5,14875.2,14478.6,14557.85,542216908,31339.71
19-MAR-2021,14471.15,14788.25,14350.1,14744,919178208,49011.27
22-MAR-2021,14736.3,14763.9,14597.85,14736.4,458997059,27345.02
23-MAR-2021,14768.55,14878.6,14707,14814.75,474150088,30322.09
24-MAR-2021,14712.45,14752.35,14535,14549.4,456403503,27868.93
25-MAR-2021,14570.9,14575.6,14264.4,14324.9,606820996,35350.22
26-MAR-2021,14506.3,14572.9,14414.25,14507.3,481000845,29423.45
30-MAR-2021,14628.5,14876.3,14617.6,14845.1,594520567,35117.93
31-MAR-2021,14811.85,14813.75,14670.25,14690.7,436874691,29741.83
01-APR-2021,14798.4,14883.2,14692.45,14867.35,430028476,29585.23
05-APR-2021,14837.7,14849.85,14459.5,14637.8,500476690,33885.39
06-APR-2021,14737,14779.1,14573.9,14683.5,474211156,31885.97
07-APR-2021,14716.45,14879.8,14649.85,14819.05,476382016,35184.96
08-APR-2021,14875.65,14984.15,14821.1,14873.8,503728173,34444.56
09-APR-2021,14882.65,14918.45,14785.65,14834.85,498347599,35010.36
12-APR-2021,14644.65,14652.5,14248.7,14310.8,638475842,43433.24
13-APR-2021,14364.9,14528.9,14274.9,14504.8,588666016,40846.57
15-APR-2021,14522.4,14597.55,14353.2,14581.45,556851211,40177.25
16-APR-2021,14599.6,14697.7,14559,14617.85,568568743,36653.65
19-APR-2021,14306.6,14382.3,14191.4,14359.45,503142904,34751.95
20-APR-2021,14526.7,14526.95,14207.3,14296.4,456704716,34687.11
22-APR-2021,14219.15,14424.75,14151.4,14406.15,516985252,37235.71
23-APR-2021,14326.35,14461.15,14273.3,14341.35,476613608,31894.66
26-APR-2021,14449.45,14557.5,14421.3,14485,448533329,33156.16
27-APR-2021,14493.8,14667.55,14484.85,14653.05,442211685,32181.14
28-APR-2021,14710.5,14890.25,14694.95,14864.55,453990807,37650.11
29-APR-2021,14979,15044.35,14814.45,14894.9,511466673,41597.37
30-APR-2021,14747.35,14855.45,14601.7,14631.1,594744498,40335.86
03-MAY-2021,14481.05,14673.85,14416.25,14634.15,443410846,32538.97
04-MAY-2021,14687.25,14723.4,14461.5,14496.5,479657079,34024.77
05-MAY-2021,14604.15,14637.9,14506.6,14617.85,437261063,28942.47
06-MAY-2021,14668.35,14743.9,14611.5,14724.8,445281496,31015.95
07-MAY-2021,14816.85,14863.05,14765.5,14823.15,483677266,33583.37
10-MAY-2021,14928.25,14966.9,14892.5,14942.35,510598577,31620.64
11-MAY-2021,14789.7,14900,14771.4,14850.75,616204478,32955.82
12-MAY-2021,14823.55,14824.05,14649.7,14696.5,620318215,32035.23
